"No.","Time","Source","Destination","Protocol","Length","Info"
"21","11.990038","192.168.42.5","224.0.0.251","MDNS","484","Standard query response 0x0000 TXT, cache flush PTR _nvstream_dbd._tcp.local PTR 3.24.0.123-DESKTOP-QTF2QAQ.9ba725a2-a557-4ae6-9d47-1fb0787f2eef._nvstream_dbd._tcp.local SRV, cache flush 0 0 47989 DESKTOP-QTF2QAQ.local PTR, cache flush DESKTOP-QTF2QAQ.local PTR, cache flush DESKTOP-QTF2QAQ.local A, cache flush 192.168.42.5 AAAA, cache flush fe80::ccee:759f:7fe5:c5c3 NSEC, cache flush 3.24.0.123-DESKTOP-QTF2QAQ.9ba725a2-a557-4ae6-9d47-1fb0787f2eef._nvstream_dbd._tcp.local NSEC, cache flush 5.42.168.192.in-addr.arpa NSEC, cache flush 3.C.5.C.5.E.F.7.F.9.5.7.E.E.C.C.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush DESKTOP-QTF2QAQ.local"
"22","12.085832","192.168.42.5","224.0.0.251","MDNS","296","Standard query response 0x0000 PTR, cache flush DESKTOP-QTF2QAQ.local PTR, cache flush DESKTOP-QTF2QAQ.local A, cache flush 192.168.42.5 AAAA, cache flush fe80::ccee:759f:7fe5:c5c3 NSEC, cache flush 5.42.168.192.in-addr.arpa NSEC, cache flush 3.C.5.C.5.E.F.7.F.9.5.7.E.E.C.C.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush DESKTOP-QTF2QAQ.local"
"23","12.228440","192.168.42.5","224.0.0.251","MDNS","432","Standard query response 0x0000 TXT, cache flush PTR _ni-logos._tcp.local PTR DESKTOP-QTF2QAQ._ni-logos._tcp.local SRV, cache flush 0 0 2343 DESKTOP-QTF2QAQ.local PTR, cache flush DESKTOP-QTF2QAQ.local PTR, cache flush DESKTOP-QTF2QAQ.local A, cache flush 192.168.42.5 AAAA, cache flush fe80::ccee:759f:7fe5:c5c3 NSEC, cache flush DESKTOP-QTF2QAQ._ni-logos._tcp.local NSEC, cache flush 5.42.168.192.in-addr.arpa NSEC, cache flush 3.C.5.C.5.E.F.7.F.9.5.7.E.E.C.C.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush DESKTOP-QTF2QAQ.local"
"24","17.982655","192.168.42.5","149.154.167.91","TCP","351","50322  >  443 [PSH, ACK] Seq=1 Ack=1 Win=512 Len=297 [TCP segment of a reassembled PDU]"
"25","18.083493","149.154.167.91","192.168.42.5","SSL","159","Continuation Data"
"26","18.136081","192.168.42.5","149.154.167.91","TCP","54","50322  >  443 [ACK] Seq=298 Ack=106 Win=511 Len=0"
"27","18.691805","192.168.42.5","173.194.76.188","TCP","55","50369  >  5228 [ACK] Seq=1 Ack=1 Win=512 Len=1"
"28","18.707552","192.168.42.5","173.194.76.188","TCP","55","50370  >  5228 [ACK] Seq=1 Ack=1 Win=512 Len=1"
"29","18.800387","173.194.76.188","192.168.42.5","TCP","66","5228  >  50369 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2"
"30","18.811540","173.194.76.188","192.168.42.5","TCP","66","5228  >  50370 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2"
"31","23.090359","f2:d9:3a:05:99:f4","02:00:54:55:61:66","ARP","42","Who has 192.168.42.5? Tell 192.168.42.129"
"32","23.090372","02:00:54:55:61:66","f2:d9:3a:05:99:f4","ARP","42","192.168.42.5 is at 02:00:54:55:61:66"
"33","28.072890","192.168.42.5","149.154.167.91","TCP","255","50322  >  443 [PSH, ACK] Seq=298 Ack=106 Win=511 Len=201 [TCP segment of a reassembled PDU]"
"34","28.194401","149.154.167.91","192.168.42.5","SSL","143","Continuation Data"
"35","28.242262","192.168.42.5","149.154.167.91","TCP","54","50322  >  443 [ACK] Seq=499 Ack=195 Win=511 Len=0"
"36","29.860669","192.168.42.5","8.8.8.8","DNS","82","Standard query 0x25e2 A az667904.vo.msecnd.net"
"37","29.938982","8.8.8.8","192.168.42.5","DNS","193","Standard query response 0x25e2 A az667904.vo.msecnd.net CNAME az667904-pme.azureedge.net CNAME az667904-pme.ec.azureedge.net CNAME cs9.wpc.v0cdn.net A 152.199.19.161"
"38","29.945782","192.168.42.5","152.199.19.161","TCP","66","50386  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"39","30.028781","152.199.19.161","192.168.42.5","TCP","66","443  >  50386 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1340 SACK_PERM WS=512"
"40","30.028845","192.168.42.5","152.199.19.161","TCP","54","50386  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"41","30.031400","192.168.42.5","152.199.19.161","TLSv1.2","238","Client Hello"
"42","30.117632","152.199.19.161","192.168.42.5","TCP","54","443  >  50386 [ACK] Seq=1 Ack=185 Win=67072 Len=0"
"43","30.117694","152.199.19.161","192.168.42.5","TLSv1.2","1394","Server Hello"
"44","30.117760","152.199.19.161","192.168.42.5","TCP","1394","443  >  50386 [PSH, ACK] Seq=1341 Ack=185 Win=67072 Len=1340 [TCP segment of a reassembled PDU]"
"45","30.117779","192.168.42.5","152.199.19.161","TCP","54","50386  >  443 [ACK] Seq=185 Ack=2681 Win=131072 Len=0"
"46","30.117796","152.199.19.161","192.168.42.5","TCP","130","[TCP Previous segment not captured] 443  >  50386 [PSH, ACK] Seq=4021 Ack=185 Win=67072 Len=76 [TCP segment of a reassembled PDU]"
"47","30.117805","192.168.42.5","152.199.19.161","TCP","66","[TCP Dup ACK 45#1] 50386  >  443 [ACK] Seq=185 Ack=2681 Win=131072 Len=0 SLE=4021 SRE=4097"
"48","30.117863","152.199.19.161","192.168.42.5","TCP","1394","[TCP Out-Of-Order] 443  >  50386 [ACK] Seq=2681 Ack=185 Win=67072 Len=1340 [TCP segment of a reassembled PDU]"
"49","30.117878","192.168.42.5","152.199.19.161","TCP","54","50386  >  443 [ACK] Seq=185 Ack=4097 Win=131072 Len=0"
"50","30.127452","152.199.19.161","192.168.42.5","TCP","1394","443  >  50386 [ACK] Seq=4097 Ack=185 Win=67072 Len=1340 [TCP segment of a reassembled PDU]"
"51","30.127506","152.199.19.161","192.168.42.5","TLSv1.2","1369","Certificate, Server Key Exchange, Server Hello Done"
"52","30.127527","192.168.42.5","152.199.19.161","TCP","54","50386  >  443 [ACK] Seq=185 Ack=6752 Win=131072 Len=0"
"53","30.129061","192.168.42.5","152.199.19.161","TLSv1.2","180","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"54","30.196354","152.199.19.161","192.168.42.5","TCP","54","443  >  50386 [ACK] Seq=6752 Ack=311 Win=67072 Len=0"
"55","30.196561","152.199.19.161","192.168.42.5","TLSv1.2","280","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"56","30.200943","192.168.42.5","152.199.19.161","TLSv1.2","303","Application Data"
"57","30.271004","152.199.19.161","192.168.42.5","TCP","54","443  >  50386 [ACK] Seq=6978 Ack=560 Win=68096 Len=0"
"58","30.279862","152.199.19.161","192.168.42.5","TLSv1.2","465","Application Data"
"59","30.324706","192.168.42.5","152.199.19.161","TCP","54","50386  >  443 [ACK] Seq=560 Ack=7389 Win=130560 Len=0"
"60","32.091008","192.168.42.5","8.8.8.8","DNS","79","Standard query 0x8854 A clients4.google.com"
"61","32.196480","8.8.8.8","192.168.42.5","DNS","119","Standard query response 0x8854 A clients4.google.com CNAME clients.l.google.com A 172.217.21.14"
"62","32.197065","192.168.42.5","172.217.21.14","QUIC","1292","Initial, DCID=13f97e4203134657, PKN: 1, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PING, PADDING, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING"
"63","32.197189","192.168.42.5","172.217.21.14","QUIC","115","0-RTT, DCID=13f97e4203134657"
"64","32.296009","172.217.21.14","192.168.42.5","QUIC","1292","Protected Payload (KP0)"
"65","32.296061","172.217.21.14","192.168.42.5","QUIC","831","Protected Payload (KP0)"
"66","32.296242","172.217.21.14","192.168.42.5","QUIC","122","Protected Payload (KP0)"
"67","32.296320","192.168.42.5","172.217.21.14","QUIC","120","Handshake, DCID=13f97e4203134657"
"68","32.296376","192.168.42.5","172.217.21.14","QUIC","75","Protected Payload (KP0), DCID=13f97e4203134657"
"69","32.296498","192.168.42.5","172.217.21.14","QUIC","1288","Protected Payload (KP0), DCID=13f97e4203134657"
"70","32.296516","192.168.42.5","172.217.21.14","QUIC","469","Protected Payload (KP0), DCID=13f97e4203134657"
"71","32.306254","172.217.21.14","192.168.42.5","QUIC","67","Protected Payload (KP0)"
"72","32.360903","172.217.21.14","192.168.42.5","QUIC","162","Protected Payload (KP0)"
"73","32.368777","172.217.21.14","192.168.42.5","QUIC","71","Protected Payload (KP0)"
"74","32.368822","172.217.21.14","192.168.42.5","QUIC","67","Protected Payload (KP0)"
"75","32.368913","192.168.42.5","172.217.21.14","QUIC","75","Protected Payload (KP0), DCID=13f97e4203134657"
"76","32.482927","172.217.21.14","192.168.42.5","QUIC","1288","Protected Payload (KP0)"
"77","32.482986","172.217.21.14","192.168.42.5","QUIC","758","Protected Payload (KP0)"
"78","32.483034","172.217.21.14","192.168.42.5","QUIC","76","Protected Payload (KP0)"
"79","32.483046","172.217.21.14","192.168.42.5","QUIC","234","Protected Payload (KP0)"
"80","32.483161","192.168.42.5","172.217.21.14","QUIC","77","Protected Payload (KP0), DCID=13f97e4203134657"
"81","32.483215","192.168.42.5","172.217.21.14","QUIC","75","Protected Payload (KP0), DCID=13f97e4203134657"
"82","32.509672","192.168.42.5","172.217.21.14","QUIC","75","Protected Payload (KP0), DCID=13f97e4203134657"
"83","32.578749","172.217.21.14","192.168.42.5","QUIC","67","Protected Payload (KP0)"
"84","32.621750","149.154.167.91","192.168.42.5","SSL","159","Continuation Data"
"85","32.622025","192.168.42.5","149.154.167.91","TCP","175","50322  >  443 [PSH, ACK] Seq=499 Ack=300 Win=511 Len=121 [TCP segment of a reassembled PDU]"
"86","32.744528","149.154.167.91","192.168.42.5","TCP","54","443  >  50322 [ACK] Seq=300 Ack=620 Win=7202 Len=0"
"87","37.469475","172.217.171.202","192.168.42.5","TLSv1.2","110","Application Data"
"88","37.469551","172.217.171.202","192.168.42.5","TCP","54","443  >  50368 [RST] Seq=71 Win=265 Len=0"
"89","37.518284","192.168.42.5","172.217.171.202","TCP","54","50368  >  443 [ACK] Seq=1 Ack=127 Win=512 Len=0"
"90","37.589438","172.217.171.202","192.168.42.5","TCP","54","443  >  50368 [RST] Seq=127 Win=0 Len=0"
"91","38.204253","192.168.42.5","8.8.8.8","DNS","88","Standard query 0x533f A fcmconnection.googleapis.com"
"92","38.310466","192.168.42.5","8.8.4.4","DNS","88","Standard query 0x533f A fcmconnection.googleapis.com"
"93","38.332403","8.8.8.8","192.168.42.5","DNS","344","Standard query response 0x533f A fcmconnection.googleapis.com A 216.58.205.202 A 172.217.21.10 A 216.58.212.106 A 142.251.37.42 A 142.251.37.170 A 142.251.37.202 A 142.251.37.234 A 172.217.18.42 A 172.217.18.234 A 172.217.19.42 A 172.217.19.138 A 142.250.200.202 A 142.250.200.234 A 142.250.201.10 A 142.250.201.42 A 142.250.203.234"
"94","38.332790","192.168.42.5","216.58.205.202","TCP","66","50387  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"95","38.396404","8.8.4.4","192.168.42.5","DNS","344","Standard query response 0x533f A fcmconnection.googleapis.com A 172.217.18.42 A 172.217.18.234 A 172.217.19.42 A 142.250.200.202 A 142.250.200.234 A 142.250.201.10 A 142.250.201.42 A 142.250.203.234 A 172.217.171.202 A 172.217.171.234 A 216.58.198.74 A 216.58.211.202 A 216.58.212.106 A 142.251.37.42 A 142.251.37.170 A 142.251.37.202"
"96","38.400873","216.58.205.202","192.168.42.5","TCP","66","443  >  50387 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1340 SACK_PERM WS=256"
"97","38.400912","192.168.42.5","216.58.205.202","TCP","54","50387  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"98","38.401070","192.168.42.5","216.58.205.202","TLSv1.2","482","Client Hello"
"99","38.457777","216.58.205.202","192.168.42.5","TCP","54","443  >  50387 [ACK] Seq=1 Ack=429 Win=66816 Len=0"
"100","38.480229","216.58.205.202","192.168.42.5","TLSv1.2","169","Server Hello, Change Cipher Spec, Encrypted Handshake Message"
"101","38.480574","192.168.42.5","216.58.205.202","TLSv1.2","105","Change Cipher Spec, Encrypted Handshake Message"
"102","38.488708","192.168.42.5","216.58.205.202","TLSv1.2","424","Application Data"
"103","38.542773","216.58.205.202","192.168.42.5","TCP","54","443  >  50387 [ACK] Seq=116 Ack=480 Win=66816 Len=0"
"104","38.566298","216.58.205.202","192.168.42.5","TCP","54","443  >  50387 [ACK] Seq=116 Ack=850 Win=67840 Len=0"
"105","38.607370","216.58.205.202","192.168.42.5","TLSv1.2","801","Application Data"
"106","38.658196","192.168.42.5","216.58.205.202","TCP","54","50387  >  443 [ACK] Seq=850 Ack=863 Win=130304 Len=0"
"107","48.085149","192.168.42.5","149.154.167.91","TCP","175","50322  >  443 [PSH, ACK] Seq=620 Ack=300 Win=511 Len=121 [TCP segment of a reassembled PDU]"
"108","48.214892","149.154.167.91","192.168.42.5","TCP","54","443  >  50322 [ACK] Seq=300 Ack=741 Win=7202 Len=0"
"109","48.214971","149.154.167.91","192.168.42.5","SSL","159","Continuation Data"
"110","48.261517","192.168.42.5","149.154.167.91","TCP","54","50322  >  443 [ACK] Seq=741 Ack=405 Win=510 Len=0"
"111","50.785867","93.184.220.29","192.168.42.5","TCP","54","80  >  50380 [ACK] Seq=1 Ack=1 Win=133 Len=0"
"112","50.785891","192.168.42.5","93.184.220.29","TCP","54","[TCP ACKed unseen segment] 50380  >  80 [ACK] Seq=1 Ack=2 Win=510 Len=0"
"113","50.902921","192.168.42.5","8.8.8.8","DNS","70","Standard query 0x34c9 A mp.4dex.io"
"114","50.903903","192.168.42.5","8.8.8.8","DNS","81","Standard query 0x0bb0 A btlr.sharethrough.com"
"115","50.907259","192.168.42.5","8.8.8.8","DNS","80","Standard query 0xd562 A htlb.casalemedia.com"
"116","50.908039","192.168.42.5","8.8.8.8","DNS","78","Standard query 0x81d9 A snigel-d.openx.net"
"117","50.910182","192.168.42.5","8.8.8.8","DNS","79","Standard query 0x48b1 A c2shb.ssp.yahoo.com"
"118","50.912171","192.168.42.5","8.8.8.8","DNS","72","Standard query 0x2d4a A ap.lijit.com"
"119","50.913047","192.168.42.5","8.8.8.8","DNS","81","Standard query 0x9939 A prg.smartadserver.com"
"120","50.916338","192.168.42.5","8.8.8.8","DNS","82","Standard query 0x4b69 A hbopenbid.pubmatic.com"
"121","50.917087","192.168.42.5","8.8.8.8","DNS","74","Standard query 0x976f A i.connectad.io"
"122","50.918589","192.168.42.5","8.8.8.8","DNS","73","Standard query 0xccdb A tlx.3lift.com"
"123","50.919706","192.168.42.5","8.8.8.8","DNS","82","Standard query 0xdda6 A prebid.smilewanted.com"
"124","50.921725","192.168.42.5","8.8.8.8","DNS","72","Standard query 0xb0d9 A ib.adnxs.com"
"125","50.922705","192.168.42.5","8.8.8.8","DNS","73","Standard query 0xe405 A hb.emxdgt.com"
"126","50.924807","192.168.42.5","8.8.8.8","DNS","87","Standard query 0x9a97 A fastlane.rubiconproject.com"
"127","50.975139","8.8.8.8","192.168.42.5","DNS","102","Standard query response 0x34c9 A mp.4dex.io A 104.18.35.193 A 172.64.152.63"
"128","50.975542","192.168.42.5","104.18.35.193","TCP","66","50388  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"129","50.977009","8.8.8.8","192.168.42.5","DNS","245","Standard query response 0x0bb0 A btlr.sharethrough.com CNAME btlr-ecs-eu-central-1.sharethrough.com A 18.194.81.27 A 3.65.29.62 A 52.57.113.99 A 18.195.124.211 A 52.57.70.106 A 18.193.186.231 A 3.121.89.8 A 18.194.182.47"
"130","50.977056","8.8.8.8","192.168.42.5","DNS","110","Standard query response 0x81d9 A snigel-d.openx.net A 34.98.64.218 A 35.244.159.8"
"131","50.977117","8.8.8.8","192.168.42.5","DNS","165","Standard query response 0xd562 A htlb.casalemedia.com CNAME htlb.casalemedia.com.cdn.cloudflare.net A 104.18.18.126 A 104.18.19.126"
"132","50.977173","8.8.8.8","192.168.42.5","DNS","240","Standard query response 0x2d4a A ap.lijit.com CNAME vap.lijit.com CNAME emeas.vap.lijit.com CNAME oeu.vap.lijit.com A 216.52.2.48 A 216.52.2.19 A 216.52.2.30 A 72.251.249.13 A 72.251.249.14 A 72.251.249.9 A 216.52.2.39"
"133","50.977226","8.8.8.8","192.168.42.5","DNS","217","Standard query response 0x48b1 A c2shb.ssp.yahoo.com CNAME c2shb.one-mobile-prod.aws.oath.cloud CNAME ssp-ats-prod-eu-central-1.one-mobile-prod.aws.oath.cloud A 18.156.195.47 A 35.157.246.167 A 52.28.203.152"
"134","50.977281","8.8.8.8","192.168.42.5","DNS","264","Standard query response 0x9939 A prg.smartadserver.com CNAME prga.smartadserver.com CNAME hb-geo.delivery-prod-sas.akadns.net CNAME euw2.smartadserver.com A 217.182.178.224 A 217.182.178.225 A 178.32.210.226 A 5.135.209.97 A 5.135.209.96 A 178.32.210.227"
"135","50.977448","192.168.42.5","18.194.81.27","TCP","66","50389  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"136","50.977803","192.168.42.5","104.18.18.126","QUIC","1292","Initial, DCID=55630a5c19a25dcd, PKN: 1, PING, PADDING, PING, PING, PING, CRYPTO, PADDING, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, PING, PING, CRYPTO, PADDING, PING"
"137","50.977913","192.168.42.5","104.18.18.126","QUIC","122","0-RTT, DCID=55630a5c19a25dcd"
"138","50.978182","192.168.42.5","34.98.64.218","QUIC","1292","Initial, DCID=87be678f052f5a89, PKN: 1, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, CRYPTO, PING, PADDING, PING, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PING, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO"
"139","50.978324","192.168.42.5","217.182.178.224","TCP","66","50390  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"140","50.978427","192.168.42.5","217.182.178.224","TCP","66","50391  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"141","50.978538","192.168.42.5","216.52.2.48","TCP","66","50392  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"142","50.978644","192.168.42.5","18.156.195.47","TCP","66","50393  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"143","50.978813","192.168.42.5","104.18.18.126","QUIC","1288","0-RTT, DCID=55630a5c19a25dcd"
"144","50.978836","192.168.42.5","104.18.18.126","QUIC","1292","0-RTT, DCID=55630a5c19a25dcd"
"145","50.978855","192.168.42.5","104.18.18.126","QUIC","1292","0-RTT, DCID=55630a5c19a25dcd"
"146","50.978869","192.168.42.5","104.18.18.126","QUIC","1292","0-RTT, DCID=55630a5c19a25dcd"
"147","50.978886","192.168.42.5","104.18.18.126","QUIC","1292","0-RTT, DCID=55630a5c19a25dcd"
"148","50.978903","192.168.42.5","104.18.18.126","QUIC","177","0-RTT, DCID=55630a5c19a25dcd"
"149","50.992393","8.8.8.8","192.168.42.5","DNS","313","Standard query response 0xb0d9 A ib.adnxs.com CNAME g.geogslb.com CNAME ib.anycast.adnxs.com A 185.89.211.132 A 185.89.210.180 A 185.89.210.46 A 185.89.210.122 A 185.89.210.212 A 185.89.210.20 A 185.89.210.153 A 185.89.210.82 A 185.89.211.84 A 185.89.210.244 A 185.89.210.101 A 185.89.211.12"
"150","50.992445","8.8.8.8","192.168.42.5","DNS","130","Standard query response 0xdda6 A prebid.smilewanted.com A 172.67.10.198 A 104.22.69.131 A 104.22.68.131"
"151","50.992470","8.8.8.8","192.168.42.5","DNS","222","Standard query response 0xccdb A tlx.3lift.com CNAME eu-tlx.3lift.com A 3.72.253.9 A 3.68.34.176 A 3.121.135.212 A 3.125.110.187 A 35.157.230.53 A 3.125.142.177 A 52.28.133.128 A 54.93.145.1"
"152","50.992525","8.8.8.8","192.168.42.5","DNS","201","Standard query response 0xe405 A hb.emxdgt.com A 18.157.203.184 A 3.74.199.196 A 52.29.149.17 A 3.68.42.108 A 18.196.189.153 A 35.157.157.115 A 3.73.114.44 A 35.158.236.126"
"153","50.992579","8.8.8.8","192.168.42.5","DNS","220","Standard query response 0x9a97 A fastlane.rubiconproject.com CNAME tagged-by.rubiconproject.net.akadns.net A 213.19.162.61 A 213.19.162.41 A 213.19.162.21 A 213.19.162.31 A 213.19.162.51"
"154","50.992640","8.8.8.8","192.168.42.5","DNS","122","Standard query response 0x976f A i.connectad.io A 104.22.55.206 A 172.67.8.174 A 104.22.54.206"
"155","50.992656","8.8.8.8","192.168.42.5","DNS","160","Standard query response 0x4b69 A hbopenbid.pubmatic.com CNAME hbprebid-v3.pubmnet.com CNAME hbopenbid-ams.pubmnet.com A 185.64.189.112"
"156","50.992862","192.168.42.5","18.157.203.184","TCP","66","50394  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"157","50.992992","192.168.42.5","185.89.211.132","TCP","66","50395  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"158","50.993099","192.168.42.5","172.67.10.198","TCP","66","50396  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"159","50.993205","192.168.42.5","3.72.253.9","TCP","66","50397  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"160","50.993376","192.168.42.5","185.64.189.112","TCP","66","50398  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"161","50.993502","192.168.42.5","213.19.162.61","TCP","66","50399  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"162","50.993615","192.168.42.5","213.19.162.61","TCP","66","50400  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"163","50.993954","192.168.42.5","104.22.55.206","QUIC","1292","Initial, DCID=a3bca50e589b8aeb, PKN: 1, PING, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PING, PADDING, PING, CRYPTO, CRYPTO, PADDING, PING, PADDING, PING, CRYPTO, PADDING, PING"
"164","50.994096","192.168.42.5","104.22.55.206","QUIC","118","0-RTT, DCID=a3bca50e589b8aeb"
"165","51.021516","104.18.35.193","192.168.42.5","TCP","66","443  >  50388 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1340 SACK_PERM WS=8192"
"166","51.021560","192.168.42.5","104.18.35.193","TCP","54","50388  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"167","51.021707","192.168.42.5","104.18.35.193","TLSv1.3","601","Client Hello"
"168","51.047590","18.194.81.27","192.168.42.5","TCP","66","443  >  50389 [SYN, ACK] Seq=0 Ack=1 Win=26883 Len=0 MSS=1340 SACK_PERM WS=256"
"169","51.047631","192.168.42.5","18.194.81.27","TCP","54","50389  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"170","51.047790","192.168.42.5","18.194.81.27","TLSv1.2","581","Client Hello"
"171","51.055588","104.18.18.126","192.168.42.5","QUIC","1242","Protected Payload (KP0)"
"172","51.055667","104.18.18.126","192.168.42.5","QUIC","94","Protected Payload (KP0)"
"173","51.055684","104.18.18.126","192.168.42.5","QUIC","66","Protected Payload (KP0)"
"174","51.055721","104.18.18.126","192.168.42.5","QUIC","71","Protected Payload (KP0)"
"175","51.055930","192.168.42.5","104.18.18.126","QUIC","132","Handshake, DCID=01b99599a5c471e0fabb989900c4789dcb134aaf"
"176","51.055990","192.168.42.5","104.18.18.126","QUIC","87","Protected Payload (KP0), DCID=01b99599a5c471e0fabb989900c4789dcb134aaf"
"177","51.056041","192.168.42.5","104.18.18.126","QUIC","87","Protected Payload (KP0), DCID=01b99599a5c471e0fabb989900c4789dcb134aaf"
"178","51.057206","104.18.18.126","192.168.42.5","QUIC","91","Protected Payload (KP0)"
"179","51.057299","192.168.42.5","104.18.18.126","QUIC","89","Protected Payload (KP0), DCID=01b99599a5c471e0fabb989900c4789dcb134aaf"
"180","51.065011","172.67.10.198","192.168.42.5","TCP","66","443  >  50396 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1340 SACK_PERM WS=8192"
"181","51.065049","192.168.42.5","172.67.10.198","TCP","54","50396  >  443 [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"182","51.065078","104.18.18.126","192.168.42.5","QUIC","65","Protected Payload (KP0)"
"183","51.065193","192.168.42.5","172.67.10.198","TLSv1.3","613","Client Hello"
"184","51.066735","104.22.55.206","192.168.42.5","QUIC","1242","Protected Payload (KP0)"
"185","51.066781","104.22.55.206","192.168.42.5","QUIC","94","Protected Payload (KP0)"
"186","51.066791","104.22.55.206","192.168.42.5","QUIC","66","Protected Payload (KP0)"
